"MG","Mato Verde","UBS Lagoa da Barriguda","Posto de Saúde","5876893"
"MG","Mato Verde","Posto de Saude do Cristino","Posto de Saúde","6768156"
"MG","Mato Verde","UBS Sao Bento","Centro de Saúde/unidade Básica","2147904"
"MG","Mato Verde","UBS Sao Joao do Bonito","Centro de Saúde/unidade Básica","2184958"
"MG","Mato Verde","UBS Santo Antonio","Centro de Saúde/unidade Básica","2775697"
"MG","Mato Verde","Centro de Saude de Mato Verde","Centro de Saúde/unidade Básica","2147882"
"MG","Mato Verde","UBS do Alto Sao Joao","Centro de Saúde/unidade Básica","2205742"
"MG","Matozinhos","Matozinhos Unidade Basica de Saude Mocambeiro","Posto de Saúde","2158698"
"MG","Matozinhos","Matozinhos Unidade Basica de Saude Bom Jesus","Centro de Saúde/unidade Básica","2158728"
"MG","Matozinhos","Matozinhos Unidade Basica de Saude Vitalino Fonseca","Centro de Saúde/unidade Básica","2158663"
"MG","Matozinhos","Matozinhos Posto de Saude Maria dos Anjos Xavier","Centro de Saúde/unidade Básica","2158647"
"MG","Matozinhos","Matozinhos Secretaria Municipal de Saude de Matozinhos","Centro de Saúde/unidade Básica","2158779"
"MG","Matozinhos","Matozinhos Unidade Basica de Saude Vista Alegre","Centro de Saúde/unidade Básica","2158760"
"MG","Matozinhos","Matozinhos Unidade Basica de Saude Estacao","Centro de Saúde/unidade Básica","2158604"
"MG","Matozinhos","Matozinhos Unidade Basica de Saude Tonico Cota","Centro de Saúde/unidade Básica","2158531"
"MG","Matozinhos","Matozinhos Unidade Basica de Saude Caic","Centro de Saúde/unidade Básica","2158612"
"MG","Matozinhos","Matozinhos Unidade Basica de Saude Progresso","Centro de Saúde/unidade Básica","3556964"
"MG","Matozinhos","Matozinhos Unidade Basica de Saude Centro","Centro de Saúde/unidade Básica","2158558"
"MG","Matozinhos","Matozinhos Unidade Basica de Saude Cruzeiro","Centro de Saúde/unidade Básica","2158590"
"MG","Matutina","Posto de Saude Abaete de Baixo","Posto de Saúde","2101017"
"MG","Matutina","Centro de Saude Ega Morato","Centro de Saúde/unidade Básica","2100983"
"MG","Matutina","PSF Ega Morato","Centro de Saúde/unidade Básica","2184702"
"MG","Medeiros","Posto de Saude de Medeiros","Centro de Saúde/unidade Básica","2160528"
"MG","Medina","Posto de Saude de General Dutramedina","Posto de Saúde","2204681"
"MG","Medina","Posto de Saude de Tuparece","Posto de Saúde","2120208"
"MG","Medina","Unidade Basica Saude da Familia Psf1medina","Centro de Saúde/unidade Básica","4041895"
"MG","Medina","Unidade Basica Saude da Familia Psf3medina","Centro de Saúde/unidade Básica","2120186"
"MG","Medina","Unidade Basica de Saude da Familia PSF 2medina","Centro de Saúde/unidade Básica","2120178"
"MG","Medina","Unidade de Especialidades de Medina","Centro de Saúde/unidade Básica","2120194"
"MG","Medina","Unidade Basica de Saude","Centro de Saúde/unidade Básica","5502721"
